"x","y","Coastal_Aerosol","Blue","Green","Red","Near_Infrared","Shortwave_Infrared_1","Shortwave_Infrared_2","image_year","agriculture","Cropland_and_Pasture","Orchards_Groves_Vineyards","Confined_Feeding","Other_Ag_Land","Herbaceous_Rangeland","Shrub_Brush_Rangeland","Mixed_Rangeland","ndvi","ndwi","evi","sr","ag_type"
-157.969865606523,21.6819622763298,0.89974445104599,0.940018534660339,1.07320737838745,1.13480365276337,1.81949996948242,1.72643709182739,1.3689740896225,2022,"Yes",1,0,0,0,0,0,0,0.231762338699148,-0.25799104484058,0.663933038908497,1.60336104404647,"Cropland_Pasture"
-158.005798217888,21.6864538527504,0.799244999885559,0.81869500875473,0.895410001277924,0.879764974117279,1.64028000831604,1.16654002666473,0.955084979534149,2020,"Yes",0,0,0,0,0,0,1,0.301786293300375,-0.293754364382021,1.06894543373205,1.86445250330843,"Mixed_Range"
-158.017027158939,21.4798413374029,0.938035011291504,0.978725016117096,1.09017503261566,1.10074496269226,1.80236005783081,1.54412496089935,1.20374500751495,2022,"Yes",1,0,0,0,0,0,0,0.241677476418726,-0.246214826422459,0.848840663801064,1.63740023249573,"Cropland_Pasture"
-158.140545510506,21.3945013854116,0.880763173103333,0.91556316614151,1.0375736951828,1.04897892475128,1.6566104888916,1.53391575813293,1.20964741706848,2014,"Yes",0,0,0,0,0,1,0,0.224583804577424,-0.229767807772011,0.729008474086729,1.57926003068593,"Shrub_Range"
-158.156266027978,21.5427234072913,0.793600022792816,0.802649974822998,0.877699971199036,0.849974989891052,1.57107496261597,1.26482498645782,0.993250012397766,2018,"Yes",0,0,0,0,0,0,1,0.297845970496483,-0.283151784119543,1.09188082291915,1.84837787146813,"Mixed_Range"
-158.120333416613,21.4124676910939,0.920794129371643,0.944741189479828,1.0594881772995,1.04232347011566,1.8249706029892,1.48167061805725,1.14861178398132,2020,"Yes",0,0,0,0,0,1,0,0.272956701656363,-0.265381648342738,0.98157141280683,1.75086780189905,"Shrub_Range"
-158.129316569454,21.3518314094159,0.820371448993683,0.872876167297363,1.01281428337097,1.02670478820801,1.51220953464508,1.33967137336731,1.11715233325958,2015,"Yes",0,0,0,0,1,0,0,0.191225336777606,-0.197778431914552,0.570949104935123,1.47287667498314,"Herbaceous_Range"
-158.01927294715,21.4775955491926,0.894550025463104,0.954354166984558,1.101358294487,1.11813747882843,1.7431708574295,1.45685005187988,1.18334579467773,2017,"Yes",1,0,0,0,0,0,0,0.218443210289772,-0.225630509889512,0.681060262212796,1.55899510609015,"Cropland_Pasture"
-158.111350263772,21.5382318308707,0.803974986076355,0.825433313846588,0.94522500038147,0.917824983596802,1.93923330307007,1.36589169502258,1.03764998912811,2020,"Yes",0,0,0,0,0,0,1,0.357503493799867,-0.34460831050987,1.13216415717883,2.11285739408677,"Mixed_Range"
-158.252834921021,21.562935501184,0.839233338832855,0.861699998378754,0.958655536174774,0.978566646575928,1.58011114597321,1.45436668395996,1.17082226276398,2021,"Yes",0,0,0,0,0,0,1,0.23509974610675,-0.244786420969035,0.756179963338893,1.61472001064223,"Mixed_Range"
